"Gene.ID"	"sol"
"SDJGI_31"	0.115
"SDJGI_139"	0.757
"SDJGI_35"	0.113
"SDJGI_137"	0.083
"SDJGI_42"	0.352
"SDJGI_34"	0.151
"SDJGI_33"	1.232
"SDJGI_83"	0.349
"SDJGI_136"	0.178
"SDJGI_79"	0.109
"SDJGI_86"	0.169
"SDJGI_80"	0.503
"SDJGI_182"	0.045
"SDJGI_134"	0.777
"SDJGI_141"	0.227
"SDJGI_181"	0.043
"SDJGI_135"	1.077
"SDJGI_85"	0.280
"SDJGI_185"	1.179
"SDJGI_138"	0.775
"SDJGI_82"	0.038
"SDJGI_78"	0.058
"SDJGI_87"	0.034
"SDJGI_183"	0.067
"SDJGI_30"	0.073
"SDJGI_40"	0.158
"SDJGI_84"	0.356
"SDJGI_140"	0.111
"SDJGI_81"	0.121
"SDJGI_53"	0.082
"SDJGI_170"	0.117
"SDJGI_162"	0.109
"SDJGI_108"	0.407
"SDJGI_52"	0.141
"SDJGI_187"	0.374
"SDJGI_197"	0.073
"SDJGI_73"	0.081
"SDJGI_128"	0.309
"SDJGI_180"	0.069
"SDJGI_151"	0.046
"SDJGI_177"	0.060
"SDJGI_117"	0.149
"SDJGI_55"	0.084
"SDJGI_156"	1.038
"SDJGI_123"	1.057
"SDJGI_112"	0.422
"SDJGI_163"	0.165
"SDJGI_67"	0.482
"SDJGI_90"	1.057
"SDJGI_44"	0.049
"SDJGI_101"	0.062
"SDJGI_95"	0.536
"SDJGI_106"	0.075
"SDJGI_121"	0.067
"SDJGI_178"	0.068
"SDJGI_100"	0.067
"SDJGI_150"	0.235
"SDJGI_60"	0.081
"SDJGI_109"	0.061
"SDJGI_179"	0.071
"SDJGI_77"	0.733
"SDJGI_43"	0.821
"SDJGI_92"	0.596
"SDJGI_131"	0.058
"SDJGI_74"	0.079
"SDJGI_126"	1.000
"SDJGI_158"	0.773
"SDJGI_120"	2.525
"SDJGI_66"	0.064
"SDJGI_171"	0.088
"SDJGI_62"	0.344
"SDJGI_75"	0.093
"SDJGI_64"	0.102
"SDJGI_152"	0.313
"SDJGI_116"	0.383
"SDJGI_125"	0.385
"SDJGI_132"	1.304
"SDJGI_153"	0.301
"SDJGI_157"	0.533
"SDJGI_159"	0.107
"SDJGI_22"	0.758
"SDJGI_24"	0.083
"SDJGI_47"	0.443
"SDJGI_54"	0.185
"SDJGI_63"	0.061
"SDJGI_69"	0.311
"SDJGI_76"	0.294
"SDJGI_45"	0.114
"SDJGI_36"	0.972
"SDJGI_175"	0.893
"SDJGI_176"	1.834
"SDJGI_193"	3.871
"SDJGI_10"	0.174
"SDJGI_11"	0.225
"SDJGI_13"	1.121
"SDJGI_14"	0.141
"SDJGI_15"	0.099
"SDJGI_16"	0.088
"SDJGI_17"	0.085
"SDJGI_19"	0.045
"SDJGI_29"	0.192
"SDJGI_4"	0.173
"SDJGI_6"	0.160
"SDJGI_8"	0.835
"SDJGI_205"	0.890
"SDJGI_206"	0.944
"SDJGI_214"	1.001
"SDJGI_215"	0.944
"SDJGI_208"	0.868
"SDJGI_210"	1.468
"SDJGI_211"	0.326
"SDJGI_37"	0.662
"SDJGI_103"	0.080
"SDJGI_110"	0.003
"SDJGI_113"	0.054
"SDJGI_115"	0.057
"SDJGI_118"	0.064
"SDJGI_122"	0.013
"SDJGI_124"	0.006
"SDJGI_130"	1.076
"SDJGI_144"	0.382
"SDJGI_145"	1.131
"SDJGI_146"	1.214
"SDJGI_147"	0.109
"SDJGI_148"	0.072
"SDJGI_154"	0.003
"SDJGI_155"	0.081
"SDJGI_160"	0.004
"SDJGI_164"	0.005
"SDJGI_172"	0.080
"SDJGI_174"	0.070
"SDJGI_188"	0.048
"SDJGI_190"	0.586
"SDJGI_191"	0.098
"SDJGI_192"	0.095
"SDJGI_196"	0.815
"SDJGI_46"	0.129
"SDJGI_51"	0.009
"SDJGI_56"	0.057
"SDJGI_57"	0.057
"SDJGI_68"	0.063
"SDJGI_72"	0.499
"SDJGI_88"	0.058
"SDJGI_89"	0.304
"SDJGI_93"	0.220
"SDJGI_96"	0.048
"SDJGI_99"	0.088
"SDJGI_142"	1.162
"SDJGI_143"	0.009
"SDJGI_39"	0.089
"SDJGI_41"	0.004
"SDJGI_32"	0.249
"SDJGI_38"	0.052
"SDJGI_26"	0.387
"SDJGI_201"	0.826
"SDJGI_1"	0.006
"SDJGI_202"	0.397
"SDJGI_204"	0.773
"SDJGI_21"	0.331
"SDJGI_114"	0.588
"SDJGI_133"	0.412
"SDJGI_119"	0.101
"SDJGI_186"	0.082
"SDJGI_173"	0.107
"SDJGI_194"	0.037
"SDJGI_127"	1.181
"SDJGI_94"	0.050
"SDJGI_97"	0.078
"SDJGI_91"	"NA"
"SDJGI_48"	0.003
"SDJGI_161"	0.008
"SDJGI_169"	0.043
"SDJGI_59"	0.002
"SDJGI_184"	0.558
"SDJGI_23"	0.442
