"JW_ID"	"Solubility..."
"2"	"JW0003"	18
"4"	"JW0005"	7
"5"	"JW0007"	85
"6"	"JW0008"	89
"9"	"JW0013"	116
"12"	"JW0019"	13
"13"	"JW0022"	103
"16"	"JW0026"	110
"17"	"JW0027"	75
"19"	"JW0029"	94
"22"	"JW5004"	19
"23"	"JW0035"	15
"26"	"JW0040"	78
"29"	"JW0043"	83
"31"	"JW0047"	81
"32"	"JW0048"	27
"34"	"JW0051"	95
"40"	"JW0060"	81
"41"	"JW0061"	8
"43"	"JW0063"	28
"45"	"JW0065"	9
"48"	"JW0068"	8
"49"	"JW0070"	93
"52"	"JW0073"	10
"53"	"JW0075"	8
"54"	"JW0076"	3
"55"	"JW0077"	15
"56"	"JW0079"	79
"64"	"JW0089"	77
"65"	"JW0090"	97
"67"	"JW0092"	85
"68"	"JW0093"	80
"69"	"JW0094"	17
"71"	"JW0097"	108
"72"	"JW5008"	92
"73"	"JW0099"	80
"75"	"JW0103"	17
"79"	"JW0109"	4
"80"	"JW0110"	16
"81"	"JW0111"	95
"82"	"JW0112"	79
"84"	"JW0114"	90
"85"	"JW0115"	83
"87"	"JW0117"	28
"91"	"JW5011"	79
"93"	"JW0123"	6
"95"	"JW0125"	18
"97"	"JW0127"	75
"98"	"JW5010"	22
"108"	"JW5808"	23
"109"	"JW0141"	73
"110"	"JW0142"	20
"111"	"JW0144"	4
"116"	"JW0152"	84
"117"	"JW0155"	106
"118"	"JW0156"	4
"120"	"JW5013"	9
"121"	"JW0159"	93
"125"	"JW0164"	77
"126"	"JW0165"	87
"128"	"JW0167"	110
"134"	"JW0175"	28
"135"	"JW0176"	22
"139"	"JW0180"	29
"140"	"JW0181"	6
"141"	"JW0182"	82
"143"	"JW0184"	114
"144"	"JW0185"	109
"145"	"JW0186"	77
"146"	"JW0187"	109
"149"	"JW0190"	17
"150"	"JW0191"	86
"153"	"JW0195"	23
"154"	"JW0196"	93
"155"	"JW0197"	79
"156"	"JW0198"	8
"157"	"JW5017"	10
"159"	"JW0202"	80
"160"	"JW0204"	73
"161"	"JW0205"	13
"165"	"JW0212"	92
"168"	"JW0215"	107
"169"	"JW0216"	83
"172"	"JW5812"	74
"174"	"JW0221"	26
"175"	"JW0223"	16
"176"	"JW0224"	77
"177"	"JW0227"	88
"178"	"JW0229"	13
"179"	"JW0230"	87
"181"	"JW0232"	88
"182"	"JW0233"	119
"183"	"JW0234"	29
"184"	"JW0235"	14
"185"	"JW0236"	28
"186"	"JW5022"	94
"187"	"JW5023"	87
"189"	"JW0240"	27
"190"	"JW0242"	9
"192"	"JW0244"	10
"193"	"JW0247"	13
"194"	"JW5813"	21
"195"	"JW0253"	98
"198"	"JW0258"	12
"199"	"JW0259"	6
"200"	"JW0260"	2
"202"	"JW0266"	9
"203"	"JW0271"	94
"204"	"JW0272"	14
"205"	"JW0273"	21
"206"	"JW0276"	19
"207"	"JW0277"	16
"210"	"JW0280"	89
"217"	"JW5035"	72
"219"	"JW5037"	14
"221"	"JW0298"	14
"222"	"JW5041"	10
"223"	"JW5042"	81
"224"	"JW0303"	9
"226"	"JW0305"	19
"227"	"JW0307"	26
"230"	"JW0311"	6
"232"	"JW0315"	83
"234"	"JW0317"	74
"237"	"JW0322"	15
"239"	"JW0324"	93
"240"	"JW0325"	10
"241"	"JW0326"	14
"242"	"JW0328"	11
"247"	"JW0337"	5
"248"	"JW0338"	7
"249"	"JW0339"	8
"250"	"JW0340"	17
"251"	"JW0341"	75
